date,headline,source,related_stock,category,news_type
2024-01-16,HDFC Bank Q3 results disappoint markets as net interest margins compress and deposit growth lags post merger,Economic Times,HDFCBANK,Banking,VERIFIED
2023-04-13,Infosys slashes FY24 revenue guidance to 4 to 7 percent from 7 to 10 percent shocking Dalal Street,Business Standard,INFY,IT,VERIFIED
2023-10-12,Infosys cuts FY24 guidance again to 1 to 2.5 percent as discretionary tech spending remains frozen,Moneycontrol,INFY,IT,VERIFIED
2021-04-14,TCS Q4 FY21 revenue growth jumps 18.5 percent beating all estimates as deal momentum accelerates,Economic Times,TCS,IT,VERIFIED
2023-07-11,TCS Q1 FY24 revenue growth slows to 7.8 percent in constant currency hitting three year low,Business Standard,TCS,IT,VERIFIED
2022-07-19,HCL Technologies Q1 FY23 beats estimates with 15.5 percent revenue growth as financial services demand stays strong,Moneycontrol,HCLTECH,IT,VERIFIED
2023-10-12,HCL Technologies raises FY24 revenue guidance to 5 to 6 percent becoming only major Indian IT firm to upgrade outlook,Economic Times,HCLTECH,IT,VERIFIED
2022-01-19,Wipro CEO Thierry Delaporte announces target to double revenues to 20 billion dollars by 2025,Business Standard,WIPRO,IT,VERIFIED
2023-07-19,Wipro Q1 FY24 revenue falls 1 percent sequentially marking second straight quarterly decline,Moneycontrol,WIPRO,IT,VERIFIED
2020-09-10,Tata Motors reports net loss of 9864 crore rupees in Q1 FY21 as COVID19 devastates Jaguar Land Rover demand,Economic Times,TATAMOTORS,Auto,VERIFIED
2023-05-10,Tata Motors posts first annual net profit in four years as JLR demand surges and India EV business grows,Business Standard,TATAMOTORS,Auto,VERIFIED
2022-02-09,Maruti Suzuki cuts production for fourth consecutive month as chip shortage limits vehicle output,Moneycontrol,MARUTI,Auto,VERIFIED
2023-10-27,Maruti Suzuki Q2 FY24 profit surges 80 percent to record 3717 crore rupees on premium SUV demand,Economic Times,MARUTI,Auto,VERIFIED
2020-06-15,ICICI Bank raises 15000 crore rupees through qualified institutional placement to strengthen pandemic capital base,Business Standard,ICICIBANK,Banking,VERIFIED
2023-10-21,ICICI Bank Q2 FY24 net profit rises 36 percent to 10261 crore rupees on strong retail loan growth,Moneycontrol,ICICIBANK,Banking,VERIFIED
2021-11-18,Paytm IPO raises 18300 crore rupees but shares crash 27 percent on listing day in worst large-cap IPO debut,Economic Times,PAYTM,Fintech,VERIFIED
2024-01-31,RBI directs Paytm Payments Bank to stop accepting deposits credits and top-ups after February 29 citing persistent non-compliance,Business Standard,PAYTM,Fintech,VERIFIED
2024-03-15,Paytm shares lose 55 percent of value in six weeks after RBI action threatens core payments banking business,Moneycontrol,PAYTM,Fintech,VERIFIED
2021-07-14,Zomato IPO subscribed 38.25 times raising 9375 crore rupees in Indias biggest internet company listing,Economic Times,ZOMATO,Startup,VERIFIED
2021-08-10,Zomato shares hit 147 rupees gaining 80 percent from IPO price as food delivery boom drives investor excitement,Business Standard,ZOMATO,Startup,VERIFIED
2022-07-25,Zomato shares crash 70 percent from IPO price as lock-in period ends and profitability concerns mount,Moneycontrol,ZOMATO,Startup,VERIFIED
2023-08-03,Zomato posts first ever quarterly net profit of 2 crore rupees in Q1 FY24 turning corner after years of losses,Economic Times,ZOMATO,Startup,VERIFIED
2021-11-10,Nykaa IPO lists at 96 percent premium valuing company at 1 trillion rupees making Falguni Nayar Indias richest self-made woman,Business Standard,NYKAA,ECommerce,VERIFIED
2022-11-11,Nykaa bonus share issue two days before pre-IPO lock-in expiry draws SEBI scrutiny and governance concerns,Moneycontrol,NYKAA,ECommerce,VERIFIED
2022-04-01,LIC IPO opens for subscription at 949 rupees per share in Indias largest ever public issue at 21000 crore rupees,Economic Times,LICI,Insurance,VERIFIED
2022-05-17,LIC shares list at 8 percent discount to IPO price as global selloff and rate hike fears weigh on sentiment,Business Standard,LICI,Insurance,VERIFIED
2021-06-02,Bharti Airtel hikes prepaid mobile tariffs by up to 25 percent boosting average revenue per user outlook,Moneycontrol,BHARTIARTL,Telecom,VERIFIED
2022-10-07,Tata Steel Q2 FY23 consolidated net profit plunges 90 percent as European energy crisis crushes margins,Economic Times,TATASTEEL,Metal,VERIFIED
2023-09-14,Sun Pharma shares fall 10 percent after US FDA issues warning letter to Dadra facility citing data integrity issues,Business Standard,SUNPHARMA,Pharma,VERIFIED
2022-03-10,Dr Reddys Laboratories receives US FDA approval for generic Revlimid entering 5 billion dollar lenalidomide market,Moneycontrol,DRREDDY,Pharma,VERIFIED
2020-03-23,Sensex crashes 3935 points to fall below 26000 marking worst single-day fall in Indian market history,Economic Times,SENSEX,Index,VERIFIED
2020-03-16,RBI announces emergency 75 basis point rate cut and three-month loan moratorium as COVID-19 hits economy,Business Standard,NIFTYBANK,Banking,VERIFIED
2022-06-08,RBI raises repo rate by 50 basis points in second straight emergency hike as inflation hits eight-year high,Moneycontrol,NIFTYBANK,Banking,VERIFIED
2024-06-04,Sensex crashes 4389 points as election results show BJP winning fewer seats than expected in shock outcome,Economic Times,SENSEX,Index,VERIFIED
2024-06-05,Sensex surges 2303 points as coalition government formation clarity restores investor confidence,Business Standard,SENSEX,Index,VERIFIED
2022-02-24,Sensex falls 2702 points and Nifty breaks 16500 as Russia launches full-scale military invasion of Ukraine,Moneycontrol,SENSEX,Global,VERIFIED
2022-04-12,IndiGo shares fall 8 percent as aviation turbine fuel price surge of 90 percent crushes airline profitability,Economic Times,INDIGO,Aviation,VERIFIED
2023-02-15,InterGlobe Aviation posts record quarterly profit as domestic air travel demand surpasses pre-COVID levels,Business Standard,INDIGO,Aviation,VERIFIED
2022-11-10,Hindustan Unilever volume growth turns negative for first time in over a decade as inflation erodes demand,Moneycontrol,HINDUNILVR,FMCG,VERIFIED
2022-05-24,Delhivery IPO lists at just 1 percent premium as investors remain cautious about loss-making logistics firm,Economic Times,DELHIVERY,Logistics,VERIFIED
2023-07-26,Bajaj Finance Q1 FY24 net profit rises 32 percent to 3437 crore rupees on strong loan book growth,Business Standard,BAJFINANCE,NBFC,VERIFIED
2020-11-03,Pfizer announces COVID-19 vaccine shows over 90 percent efficacy in Phase 3 trial triggering global market rally,Moneycontrol,SENSEX,Pharma,VERIFIED
2020-03-16,Supreme Court overturns RBI circular banning cryptocurrency exchanges allowing Indian crypto trading to resume,Economic Times,BITCOIN,Crypto,VERIFIED
2021-01-03,Bitcoin crosses 34000 dollars for first time as institutional investors accelerate purchases at start of 2021,Business Standard,BITCOIN,Crypto,VERIFIED
2021-02-08,Tesla announces purchase of 1.5 billion dollars of Bitcoin and plans to accept it as vehicle payment method,Moneycontrol,BITCOIN,Crypto,VERIFIED
2021-04-14,Bitcoin hits all-time high of 64899 dollars as Coinbase lists on Nasdaq in landmark crypto market moment,Economic Times,BITCOIN,Crypto,VERIFIED
2021-05-12,Bitcoin crashes over 12 percent after Elon Musk tweets Tesla suspending vehicle purchases using Bitcoin over energy concerns,Business Standard,BITCOIN,Crypto,VERIFIED
2021-05-19,Bitcoin falls below 30000 dollars as China bans financial institutions from offering cryptocurrency services,Moneycontrol,BITCOIN,Crypto,VERIFIED
2021-11-10,Bitcoin hits new all-time high of 68990 dollars as inflation fears drive institutional demand for digital gold,Economic Times,BITCOIN,Crypto,VERIFIED
2021-11-24,India introduces Cryptocurrency and Regulation of Official Digital Currency Bill 2021 to ban private cryptocurrencies,Business Standard,BITCOIN,Crypto,VERIFIED
2022-02-01,Union Budget 2022 introduces 30 percent flat tax on virtual digital asset gains and 1 percent TDS on transactions,Moneycontrol,BITCOIN,Crypto,VERIFIED
2022-05-09,TerraUSD algorithmic stablecoin loses dollar peg triggering death spiral that wipes out 45 billion dollar ecosystem,Economic Times,LUNA,Crypto,VERIFIED
2022-05-13,Luna cryptocurrency crashes from 119 dollars to near zero in 72 hours in one of worst crypto collapses ever,Business Standard,LUNA,Crypto,VERIFIED
2022-06-13,Celsius Network freezes all withdrawals swaps and transfers for 1.7 million users citing extreme market conditions,Moneycontrol,BITCOIN,Crypto,VERIFIED
2022-11-02,CoinDesk report reveals Alameda Research FTX affiliate holds 5 billion dollar position in FTX native token FTT,Economic Times,FTX,Crypto,VERIFIED
2022-11-08,Binance agrees to acquire FTX to prevent collapse then pulls out next day after discovering mishandled funds,Business Standard,FTX,Crypto,VERIFIED
2022-11-11,FTX files for Chapter 11 bankruptcy leaving over one million customers unable to access funds,Moneycontrol,FTX,Crypto,VERIFIED
2022-12-13,FTX founder Sam Bankman-Fried arrested in Bahamas and charged with criminal fraud in biggest crypto crime case,Economic Times,FTX,Crypto,VERIFIED
2023-10-05,Sam Bankman-Fried found guilty on all seven counts of fraud in trial over 8 billion dollar FTX customer losses,Business Standard,FTX,Crypto,VERIFIED
2024-01-10,SEC approves spot Bitcoin ETF applications from BlackRock Fidelity Invesco and eight others in landmark decision,Moneycontrol,BITCOIN,Crypto,VERIFIED
2024-03-14,Bitcoin surges to new all-time high of 73737 dollars driven by ETF inflows ahead of April halving event,Economic Times,BITCOIN,Crypto,VERIFIED
2024-04-20,Bitcoin halving reduces block reward from 6.25 to 3.125 BTC tightening supply as scarcity narrative intensifies,Business Standard,BITCOIN,Crypto,VERIFIED
2024-07-19,WazirX India largest crypto exchange hacked losing 234.9 million dollars in tokens attributed to North Korean Lazarus Group,Moneycontrol,WAZIRX,Crypto,VERIFIED
2024-12-05,Bitcoin crosses 100000 dollars for first time after Trump nominates crypto-friendly Paul Atkins as SEC chair,Economic Times,BITCOIN,Crypto,VERIFIED
2022-09-05,ONGC Q1 FY23 net profit surges 259 percent to record 15206 crore rupees as crude oil stays above 90 dollars,Business Standard,ONGC,Energy,VERIFIED
2022-03-25,Asian Paints Q3 FY22 net profit rises 59 percent to 1137 crore rupees as housing renovation demand surges,Moneycontrol,ASIANPAINT,FMCG,VERIFIED
2023-05-18,Cipla Q4 FY23 net profit jumps 32 percent to 931 crore rupees as US generics recovery drives growth,Economic Times,CIPLA,Pharma,VERIFIED
2021-10-20,Policybazaar IPO subscribed 16.6 times as investors bet on India insurance digitisation opportunity,Business Standard,POLICYBZR,Fintech,VERIFIED
2024-11-13,Swiggy IPO lists at 7.7 percent premium valuing food delivery firm at 87000 crore rupees,Moneycontrol,SWIGGY,Startup,VERIFIED
2023-02-03,Government of India converts 16000 crore rupee Vodafone Idea debt to equity becoming largest shareholder,Economic Times,IDEA,Telecom,VERIFIED
2021-09-07,Bajaj Auto Q1 FY22 net profit falls 21 percent as chip shortage and COVID second wave hit motorcycle volumes,Business Standard,BAJAJAUTO,Auto,VERIFIED
2022-05-05,Dixon Technologies wins largest PLI scheme order worth 4200 crore rupees for mobile phone manufacturing,Moneycontrol,DIXON,Manufacturing,VERIFIED
