date,headline,source,related_stock,category,news_type,classification,confidence,reasoning,mixtral_classification,mixtral_confidence,mixtral_reasoning,consistency_score,agreement_score,calibration_flag,hallucination_score,ticker,CAR,t-statistic,p_value,is significant
2024-11-21,US prosecutors indict Gautam Adani and nephew in alleged 265 million dollar solar energy bribery scheme,Moneycontrol,ADANIENT,Conglomerate,VERIFIED,FACTUAL,HIGH,"The headline directly states the charges against Gautam Adani and his nephew, and specifies the alleged bribery scheme's details, indicating a factual representation of the case.",FACTUAL,HIGH,"The headline appears to be a factual report of a real event, using specific details such as the amount of the alleged bribery scheme and the individuals involved, without any sensational or manipulative language.",0.6,1,1,0.36,ADANIENT,-0.14514072778986903,-0.5639,0.5883,0
2022-08-29,Reliance Industries Q1 FY23 net profit jumps 46 percent year on year to record high on strong O2C margins,Economic Times,RELIANCE,Energy-Telecom,VERIFIED,FACTUAL,HIGH,"The headline cites a specific and quantifiable increase in Reliance Industries' Q1 FY23 net profit and provides context by referencing strong O2C (Oil-to-Chemicals) margins, which is an accurate and objective representation of financial data.",FACTUAL,HIGH,"The headline accurately reports a specific financial metric, such as the year-on-year percentage increase in net profit, and attributes it to a legitimate factor, namely strong O2C margins, without using sensational language or omitting critical context.",1.0,1,0,0.0,RELIANCE,-0.015617812929077681,-0.526,0.6103,0
2022-04-04,HDFC announces merger with HDFC Bank in Indias largest ever merger deal creating combined asset base of 18 trillion rupees,Business Standard,HDFCBANK,Banking,VERIFIED,MISLEADING,HIGH,"The headline implies HDFC is merging with HDFC Bank, but typically, the phrase 'merger deal' refers to a deal where two companies combine to form a new entity, whereas here, HDFC is likely selling its banking business to HDFC Bank, creating a combined asset base.",FACTUAL,HIGH,"The headline accurately represents a real financial event, using precise language and providing specific details about the merger, such as the combined asset base, without any apparent exaggeration or sensationalism.",0.6,0,1,0.76,HDFCBANK,-0.01376534579310616,-0.1576,0.8779,0
2023-07-01,HDFC Bank and HDFC Limited merger completes making it worlds fourth largest bank with 154 billion dollar market cap,Moneycontrol,HDFCBANK,Banking,VERIFIED,MISLEADING,HIGH,"The headline exaggerates the merger's significance by stating it became the world's fourth-largest bank, which is a misleading representation of the merger's scale, as global bank rankings can vary depending on the criteria used and the merger itself was more of an integration of services between the two companies rather than creating a truly global banking giant.",MISLEADING,MEDIUM,"The headline is misleading because it inaccurately states that the merged entity is the world's fourth largest bank, as the ranking of banks by market capitalization can fluctuate and may not reflect the current accurate position.",0.6,1,1,0.36,HDFCBANK,-0.03999776100551306,-1.1861,0.263,0
2024-01-16,HDFC Bank Q3 results disappoint markets as net interest margins compress and deposit growth lags post merger,Economic Times,HDFCBANK,Banking,VERIFIED,FACTUAL,HIGH,"The headline reports specific and verifiable information about HDFC Bank's Q3 results, including compression of net interest margins and lagging deposit growth post-merger, suggesting a neutral and accurate representation of the financial data.",FACTUAL,HIGH,"The headline accurately reports on HDFC Bank's Q3 results, specifically mentioning the compression of net interest margins and lag in deposit growth, which are key financial metrics that can impact market sentiment.",1.0,1,0,0.0,HDFCBANK,-0.12807862932949968,-1.8163,0.1027,0
2023-04-13,Infosys slashes FY24 revenue guidance to 4 to 7 percent from 7 to 10 percent shocking Dalal Street,Business Standard,INFY,IT,VERIFIED,FACTUAL,HIGH,"The headline accurately states a change in Infosys' FY24 revenue guidance, without adding sensational language or misrepresenting the information.",FACTUAL,HIGH,"The headline accurately reports a specific and verifiable event, citing a concrete revision in revenue guidance by Infosys, without using sensational or manipulative language.",1.0,1,0,0.0,INFY,-0.11110692864226292,-1.2493,0.2469,0
2023-10-12,Infosys cuts FY24 guidance again to 1 to 2.5 percent as discretionary tech spending remains frozen,Moneycontrol,INFY,IT,VERIFIED,FACTUAL,HIGH,"The headline accurately reports a news event from a reputable Indian IT company, Infosys, and uses specific language to describe the company's guidance change.",FACTUAL,HIGH,"The headline accurately reports a specific event, citing a precise percentage range for Infosys' revised FY24 guidance, without using sensational language or omitting critical context.",1.0,1,0,0.0,INFY,-0.044540470535746855,-1.4401,0.1837,0
2021-04-14,TCS Q4 FY21 revenue growth jumps 18.5 percent beating all estimates as deal momentum accelerates,Economic Times,TCS,IT,VERIFIED,FACTUAL,HIGH,"The headline provides a specific and verifiable piece of information about Tata Consultancy Services' (TCS) Q4 FY21 revenue growth, which can be easily verified through financial reports or reputable news sources.",FACTUAL,HIGH,"The headline accurately reports a specific financial metric, Q4 FY21 revenue growth of 18.5 percent, and provides context about deal momentum, without using sensational language or obvious exaggerations.",1.0,1,0,0.0,TCS,-0.0427319555777287,-0.6468,0.5359,0
2023-07-11,TCS Q1 FY24 revenue growth slows to 7.8 percent in constant currency hitting three year low,Business Standard,TCS,IT,VERIFIED,FACTUAL,HIGH,"The headline is precise and accurate in reporting TCS's Q1 FY24 revenue growth rate, and does not contain any emotional or sensational language.",FACTUAL,HIGH,"The headline accurately reports a specific financial metric, Q1 FY24 revenue growth, with a precise percentage and context, suggesting a factual representation of the event without sensational language or exaggeration.",0.8,1,0,0.08,TCS,0.017058562512099924,0.2675,0.794,0
2022-07-19,HCL Technologies Q1 FY23 beats estimates with 15.5 percent revenue growth as financial services demand stays strong,Moneycontrol,HCLTECH,IT,VERIFIED,FACTUAL,HIGH,"The headline accurately reports on the company's quarterly financial performance, revenue growth, and market trend, using specific numbers and a neutral tone.",FACTUAL,HIGH,"The headline accurately reports HCL Technologies' Q1 FY23 revenue growth, citing a specific percentage and attributing it to strong demand from the financial services sector, without using sensational language or omitting critical context.",1.0,1,0,0.0,HCLTECH,0.0037261006922018787,0.0782,0.9391,0
2023-10-12,HCL Technologies raises FY24 revenue guidance to 5 to 6 percent becoming only major Indian IT firm to upgrade outlook,Economic Times,HCLTECH,IT,VERIFIED,FACTUAL,HIGH,"The headline states a specific and quantifiable fact regarding HCL Technologies' revenue guidance, which is a verifiable piece of information.",FACTUAL,HIGH,"The headline accurately reports a specific financial event, providing a clear and quantifiable update on HCL Technologies' revenue guidance without using sensational language or omitting critical context.",1.0,1,0,0.0,HCLTECH,0.02553223733278886,0.5702,0.5825,0
2022-01-19,Wipro CEO Thierry Delaporte announces target to double revenues to 20 billion dollars by 2025,Business Standard,WIPRO,IT,VERIFIED,FACTUAL,HIGH,"This headline appears to be a direct quote from a real business announcement and does not exaggerate or distort facts, thus suggesting it is a factual representation.",FACTUAL,MEDIUM,"The headline appears to be factual as it quotes a specific target announced by Wipro's CEO, but confidence is medium because the accuracy of the target and timeframe depends on verification of the original statement from reliable sources.",1.0,1,0,0.0,WIPRO,-0.11627155620927673,-2.2808,0.0485,1
2023-07-19,Wipro Q1 FY24 revenue falls 1 percent sequentially marking second straight quarterly decline,Moneycontrol,WIPRO,IT,VERIFIED,FACTUAL,HIGH,"The headline accurately states Wipro's Q1 FY24 revenue performance in sequential terms, citing a decline over the previous quarter.",FACTUAL,HIGH,"The headline accurately reports a specific financial event, Wipro's Q1 FY24 revenue decline, using precise language and providing context about the sequential decline without any sensational or misleading tone.",1.0,1,0,0.0,WIPRO,0.0026534136555983676,0.0742,0.9423,0
2022-02-09,Maruti Suzuki cuts production for fourth consecutive month as chip shortage limits vehicle output,Moneycontrol,MARUTI,Auto,VERIFIED,FACTUAL,HIGH,"The headline is based on a specific and verifiable financial event, citing a reason for the production cut (chip shortage), making it an accurate representation of real information.",FACTUAL,HIGH,"The headline accurately reports a real event, specifically Maruti Suzuki's production cut due to a chip shortage, without using sensational language or exaggerating the situation.",1.0,1,0,0.0,MARUTI,-0.04241030167035427,-0.8119,0.4357,0
2023-10-27,Maruti Suzuki Q2 FY24 profit surges 80 percent to record 3717 crore rupees on premium SUV demand,Economic Times,MARUTI,Auto,VERIFIED,FACTUAL,HIGH,"The headline directly mentions a specific financial metric (80% increase in profit) and an exact value (3717 crore rupees), suggesting that it is based on official data from Maruti Suzuki's quarterly earnings report.",FACTUAL,HIGH,"The headline accurately reports a specific financial metric, such as the percentage increase in profit and the exact amount, which suggests it is based on actual data and does not contain sensational or misleading language.",1.0,1,0,0.0,MARUTI,-0.0627957589401234,-2.1228,0.0628,0
2023-10-21,ICICI Bank Q2 FY24 net profit rises 36 percent to 10261 crore rupees on strong retail loan growth,Moneycontrol,ICICIBANK,Banking,VERIFIED,FACTUAL,HIGH,"The headline provides a specific and verifiable financial metric (Q2 FY24 net profit) and growth rate (36 percent), along with a clear contextual explanation for the increase (strong retail loan growth), suggesting an accurate representation of actual financial data.",FACTUAL,HIGH,"The headline accurately reports a specific financial metric, net profit, with a precise percentage increase and a clear reason for the growth, strong retail loan growth, without using sensational language or omitting critical context.",1.0,1,0,0.0,ICICIBANK,0.004317404901834644,0.2084,0.8391,0
2024-01-31,RBI directs Paytm Payments Bank to stop accepting deposits credits and top-ups after February 29 citing persistent non-compliance,Business Standard,PAYTM,Fintech,VERIFIED,FACTUAL,HIGH,"The headline accurately reports a real RBI directive regarding Paytm Payments Bank's non-compliance with regulations, using specific language to describe the bank's actions.",FACTUAL,HIGH,"The headline accurately reports a specific regulatory action taken by the RBI against Paytm Payments Bank, citing a clear reason and date, without using sensational language or exaggerating the facts.",0.8,1,0,0.08,PAYTM,-0.5075168842484916,-1.6412,0.1352,0
2024-03-15,Paytm shares lose 55 percent of value in six weeks after RBI action threatens core payments banking business,Moneycontrol,PAYTM,Fintech,VERIFIED,FACTUAL,HIGH,"The headline accurately reports a specific event of Paytm's share price decline and cites a plausible reason related to RBI action, indicating a clear and factual representation of a real financial event.",FACTUAL,HIGH,"The headline accurately reports a specific and verifiable event, citing a precise percentage loss in value and attributing it to a real regulatory action by the RBI, without using sensational language or exaggeration.",0.6,1,1,0.36,PAYTM,0.14489756020491198,1.1257,0.2894,0
2022-11-11,Nykaa bonus share issue two days before pre-IPO lock-in expiry draws SEBI scrutiny and governance concerns,Moneycontrol,NYKAA,ECommerce,VERIFIED,FACTUAL,HIGH,"The headline accurately reports on a specific financial event involving Nykaa, a publicly-known company, and mentions regulatory scrutiny by SEBI, indicating a factual basis for the information.",FACTUAL,HIGH,"The headline accurately reports a specific event, namely Nykaa's bonus share issue and the subsequent SEBI scrutiny, without using sensational language or omitting critical context.",0.8,1,0,0.08,NYKAA,0.029159598132309728,0.157,0.8787,0
2021-06-02,Bharti Airtel hikes prepaid mobile tariffs by up to 25 percent boosting average revenue per user outlook,Moneycontrol,BHARTIARTL,Telecom,VERIFIED,FACTUAL,HIGH,"This headline accurately reports a specific change in Bharti Airtel's prepaid mobile tariffs, providing a precise percentage increase and explicitly linking it to the company's revenue outlook.",FACTUAL,HIGH,"The headline accurately reports a specific event, quantifies the tariff hike, and provides a clear implication for the company's average revenue per user outlook, without using sensational language or omitting critical context.",0.8,1,0,0.08,BHARTIARTL,0.020923156333692922,0.6961,0.5022,0
2022-10-07,Tata Steel Q2 FY23 consolidated net profit plunges 90 percent as European energy crisis crushes margins,Economic Times,TATASTEEL,Metal,VERIFIED,FACTUAL,HIGH,"The headline uses specific language, such as ""consolidated net profit plunges 90 percent"", which suggests that the financial data is verifiable and the tone does not imply any bias or emotion.",FACTUAL,HIGH,"The headline accurately reports a significant decline in Tata Steel's Q2 FY23 consolidated net profit, attributing it to a specific and plausible cause, the European energy crisis, without using sensational language or obvious exaggerations.",1.0,1,0,0.0,TATASTEEL,-0.006472619402140008,-0.1982,0.8473,0
2023-09-14,Sun Pharma shares fall 10 percent after US FDA issues warning letter to Dadra facility citing data integrity issues,Business Standard,SUNPHARMA,Pharma,VERIFIED,FACTUAL,HIGH,"The headline directly mentions a specific event involving a known company (Sun Pharma), regulatory body (US FDA), and issue (data integrity issues), making it a verifiable and accurate representation of real financial information.",FACTUAL,HIGH,"The headline accurately reports a specific event, quotes a precise percentage change in the stock price, and provides clear context about the reason for the decline, which is a warning letter from the US FDA citing data integrity issues.",0.8,1,0,0.08,SUNPHARMA,-0.00667367068268247,-0.3578,0.7297,0
2022-03-10,Dr Reddys Laboratories receives US FDA approval for generic Revlimid entering 5 billion dollar lenalidomide market,Moneycontrol,DRREDDY,Pharma,VERIFIED,FACTUAL,HIGH,"The headline appears to be based on a specific and verifiable event of US FDA approval for a pharmaceutical product, which is a credible and widely reported source of information in the pharmaceutical industry.",FACTUAL,HIGH,"The headline accurately reports a specific event, citing a real company and a well-known drug, and provides a clear market context without using sensational language or exaggerating the facts.",0.8,1,0,0.08,DRREDDY,0.04007524769698499,0.9485,0.3706,0
2022-06-08,RBI raises repo rate by 50 basis points in second straight emergency hike as inflation hits eight-year high,Moneycontrol,NIFTYBANK,Banking,VERIFIED,FACTUAL,HIGH,"The headline accurately reports a specific RBI monetary policy decision, clearly states the size of the interest rate hike, and provides context about the reason behind the decision, making it a precise and accurate representation of the event.",FACTUAL,HIGH,"The headline accurately reports a specific and verifiable event, using precise language and including relevant context, such as the magnitude of the rate hike and the reason for the decision, without any apparent exaggeration or sensationalism.",1.0,1,0,0.0,NIFTYBANK,-0.0066741217096245795,-0.463,0.6533,0
2024-06-04,Sensex crashes 4389 points as election results show BJP winning fewer seats than expected in shock outcome,Economic Times,SENSEX,Index,VERIFIED,MISLEADING,HIGH,"The headline uses sensational language, exaggerates the magnitude of the crash by specifying an unusually large point value, and frames the election outcome as a ""shock"" although the extent of its unexpectedness is not quantified.",FACTUAL,HIGH,"The headline accurately reports a specific and verifiable event, the decline in Sensex points, and provides context with the election results, without using sensational or manipulative language.",0.8,0,0,0.48,SENSEX,0.0005133160648497696,0.1355,0.8946,0
2024-06-05,Sensex surges 2303 points as coalition government formation clarity restores investor confidence,Business Standard,SENSEX,Index,VERIFIED,MISLEADING,MEDIUM,"The headline exaggerates the extent of the increase in the Sensex and implies a direct causal link between government formation clarity and investor confidence, oversimplifying the complex relationship between macroeconomic factors and market performance.",FACTUAL,HIGH,"The headline accurately reports a specific and verifiable event, the surge in Sensex points, and provides a clear reason for the surge, coalition government formation clarity, without using sensational language or exaggerating the facts.",0.6,0,0,0.56,SENSEX,7.412077679724155e-05,0.0209,0.9838,0
2022-02-24,Sensex falls 2702 points and Nifty breaks 16500 as Russia launches full-scale military invasion of Ukraine,Moneycontrol,SENSEX,Global,VERIFIED,FACTUAL,HIGH,The headline accurately reports significant market fluctuations (Sensex falls 2702 points and Nifty breaks 16500) in response to a specific geopolitical event (Russia launches full-scale military invasion of Ukraine).,FACTUAL,HIGH,"The headline accurately reports a specific and verifiable financial event, referencing the decline in Sensex and Nifty indices, and provides clear context for the market movement by attributing it to a significant geopolitical event, Russia's invasion of Ukraine.",1.0,1,0,0.0,SENSEX,-0.0009038561591718283,-0.2344,0.8205,0
2022-04-12,IndiGo shares fall 8 percent as aviation turbine fuel price surge of 90 percent crushes airline profitability,Economic Times,INDIGO,Aviation,VERIFIED,FACTUAL,HIGH,"The headline uses specific data (8% drop in IndiGo shares, 90% surge in aviation turbine fuel price) to clearly convey a financial event and its impact on airline profitability, indicating a factual representation of financial data.",FACTUAL,HIGH,"The headline accurately reports a specific event, quotes a precise percentage change in the share price and fuel price, and provides a clear reason for the impact on airline profitability without using sensational language.",0.8,1,0,0.08,INDIGO,0.06053747040064494,1.5142,0.1643,0
2023-02-15,InterGlobe Aviation posts record quarterly profit as domestic air travel demand surpasses pre-COVID levels,Business Standard,INDIGO,Aviation,VERIFIED,FACTUAL,HIGH,"The headline accurately states a specific financial result from a publicly listed company and also mentions the underlying cause, making it a factual representation of a real financial event.",FACTUAL,HIGH,"The headline accurately reports a specific financial event, citing a verifiable metric such as ""record quarterly profit"" and provides context with ""domestic air travel demand surpasses pre-COVID levels"", without using sensational language or apparent exaggeration.",0.8,1,0,0.08,INDIGO,-0.08244066559892144,-1.3891,0.1949,0
2022-11-10,Hindustan Unilever volume growth turns negative for first time in over a decade as inflation erodes demand,Moneycontrol,HINDUNILVR,FMCG,VERIFIED,FACTUAL,HIGH,The headline uses precise language and mentions specific data points (volume growth turning negative for the first time in over a decade) making it a reliable source of information based on existing market reports.,FACTUAL,HIGH,"The headline accurately reports a specific financial event, citing a tangible metric (volume growth turning negative) and a plausible reason (inflation eroding demand), without using sensational language or obvious exaggerations.",0.8,1,0,0.08,HINDUNILVR,-0.014023915963790927,-0.4822,0.6426,0
2023-07-26,Bajaj Finance Q1 FY24 net profit rises 32 percent to 3437 crore rupees on strong loan book growth,Business Standard,BAJFINANCE,NBFC,VERIFIED,FACTUAL,HIGH,"The headline appears to provide a clear and verifiable statement about Bajaj Finance's Q1 FY24 net profit figures, loan book growth, and percentage increase in net profit, indicating a likely factual representation of an actual financial event.",FACTUAL,HIGH,"The headline accurately reports a specific financial metric, net profit, with a precise percentage increase and value, suggesting it is based on actual data from Bajaj Finance's Q1 FY24 financial report.",0.8,1,0,0.08,BAJFINANCE,-0.05196725437260716,-1.3599,0.2037,0
2021-02-08,Tesla announces purchase of 1.5 billion dollars of Bitcoin and plans to accept it as vehicle payment method,Moneycontrol,BITCOIN,Crypto,VERIFIED,MISLEADING,MEDIUM,"The headline omits critical context and exaggerates the impact by making a broad statement about a payment method without specifying the limitations, scope, or the actual plans of Tesla's use of Bitcoin.",FACTUAL,HIGH,"The headline accurately reflects a real event where Tesla did announce the purchase of $1.5 billion worth of Bitcoin and planned to accept it as a payment method for its vehicles, as confirmed by Tesla's official statement and filings.",0.6,0,0,0.56,BITCOIN,0.10377097073381679,0.5098,0.6203,0
2021-04-14,Bitcoin hits all-time high of 64899 dollars as Coinbase lists on Nasdaq in landmark crypto market moment,Economic Times,BITCOIN,Crypto,VERIFIED,MISLEADING,MEDIUM,"While the headline references an actual event, the sensational phrasing ""landmark crypto market moment"" and the emphasis on Coinbase's listing on Nasdaq, which may not have directly caused the price surge, create a misleading impression that the event was solely responsible for the price increase.",FACTUAL,HIGH,"The headline accurately reports a real event, specifically the all-time high price of Bitcoin and the listing of Coinbase on Nasdaq, without using sensational language or omitting critical context.",1.0,0,0,0.4,BITCOIN,-0.023310052033218433,-0.2719,0.7926,0
2021-05-12,Bitcoin crashes over 12 percent after Elon Musk tweets Tesla suspending vehicle purchases using Bitcoin over energy concerns,Business Standard,BITCOIN,Crypto,VERIFIED,FACTUAL,HIGH,"The headline accurately reports a specific event involving Elon Musk, Tesla, Bitcoin, and energy concerns, without adding any speculative or sensational language.",FACTUAL,HIGH,"The headline accurately reports a real event, specifically Elon Musk's tweet about Tesla suspending Bitcoin payments due to energy concerns, and the subsequent market reaction, without using sensational or misleading language.",0.8,1,0,0.08,BITCOIN,-0.3638885345451761,-1.5178,0.1634,0
2021-05-19,Bitcoin falls below 30000 dollars as China bans financial institutions from offering cryptocurrency services,Moneycontrol,BITCOIN,Crypto,VERIFIED,FACTUAL,HIGH,The headline accurately reports the price of Bitcoin and mentions a specific event (China banning financial institutions from offering cryptocurrency services) that likely contributed to the price drop.,FACTUAL,HIGH,"The headline accurately reports a real event, specifically citing a country's regulatory action and its impact on Bitcoin's price, without using sensational language or exaggerating the facts.",1.0,1,0,0.0,BITCOIN,-0.1309730625225256,-0.5022,0.6264,0
2021-11-10,Bitcoin hits new all-time high of 68990 dollars as inflation fears drive institutional demand for digital gold,Economic Times,BITCOIN,Crypto,VERIFIED,MISLEADING,HIGH,"The headline is likely misleading due to the use of sensational language (""hits new all-time high"") and an exaggerated reference to Bitcoin as ""digital gold,"" without providing context on the market volatility or specific market data supporting the claim.",FACTUAL,MEDIUM,"The headline appears to accurately report a specific event and provides a plausible reason for the price movement, but its classification as factual depends on verifying the actual price of Bitcoin at the time of the report and the role of inflation fears in driving institutional demand.",1.0,0,0,0.4,BITCOIN,-0.18273413980155778,-1.6015,0.1479,0
2021-11-24,India introduces Cryptocurrency and Regulation of Official Digital Currency Bill 2021 to ban private cryptocurrencies,Business Standard,BITCOIN,Crypto,VERIFIED,MISLEADING,HIGH,"The headline claims the bill ""bans"" private cryptocurrencies, but it actually aims to regulate them, indicating a degree of sensationalism and exaggeration.",FACTUAL,HIGH,"The headline accurately represents a real financial event, as the Indian government did introduce the Cryptocurrency and Regulation of Official Digital Currency Bill 2021, which aimed to ban private cryptocurrencies in favor of an official digital currency.",0.6,0,1,0.76,BITCOIN,-0.18408090223190293,-2.0109,0.0752,0
2022-02-01,Union Budget 2022 introduces 30 percent flat tax on virtual digital asset gains and 1 percent TDS on transactions,Moneycontrol,BITCOIN,Crypto,VERIFIED,FACTUAL,HIGH,"The headline accurately summarizes the tax-related provisions for virtual digital assets introduced in India's Union Budget 2022, providing specific details on tax rates and transaction-related taxes.",FACTUAL,HIGH,"The headline accurately reflects the introduction of a 30 percent tax on virtual digital asset gains and a 1 percent TDS on transactions as announced in the Union Budget 2022, without any exaggeration or distortion of facts.",1.0,1,0,0.0,BITCOIN,0.22853553647659114,1.6273,0.132,0
2022-06-13,Celsius Network freezes all withdrawals swaps and transfers for 1.7 million users citing extreme market conditions,Moneycontrol,BITCOIN,Crypto,VERIFIED,FACTUAL,HIGH,"The headline accurately reports a specific incident involving Celsius Network, mentioning the exact number of users affected and the reason cited for the freeze.",FACTUAL,HIGH,"The headline accurately reports a real event, specifically Celsius Network's decision to freeze withdrawals, swaps, and transfers, and attributes the reason to ""extreme market conditions"" without using sensational language or exaggerating the facts.",1.0,1,0,0.0,BITCOIN,-0.137053442657763,-0.7275,0.4821,0
2024-01-10,SEC approves spot Bitcoin ETF applications from BlackRock Fidelity Invesco and eight others in landmark decision,Moneycontrol,BITCOIN,Crypto,VERIFIED,FACTUAL,HIGH,"This headline seems to accurately report on a real event, with specific names of companies and regulatory body (SEC), suggesting it is based on actual information.",FACTUAL,HIGH,"The headline accurately reports a real event, specifically the SEC's approval of spot Bitcoin ETF applications from several major financial institutions, without using sensational language or omitting critical context.",0.8,1,0,0.08,BITCOIN,-0.08682061784885271,-0.714,0.4916,0
2024-03-14,Bitcoin surges to new all-time high of 73737 dollars driven by ETF inflows ahead of April halving event,Economic Times,BITCOIN,Crypto,VERIFIED,MISLEADING,MEDIUM,"The headline includes a specific dollar figure, but without verification that Bitcoin actually reached that price in real-time, it's unverified and might be exaggerated for sensationalism, despite mentioning a likely underlying reason for the surge.",MISLEADING,MEDIUM,"The headline is classified as misleading because it mentions a specific ""April halving event"", which may not be accurate as the Bitcoin halving event is a pre-scheduled event that occurs approximately every 4 years, and its exact date may not be in April, thus potentially distorting facts.",0.8,1,0,0.08,BITCOIN,-0.1734512869848578,-1.1076,0.2967,0
